Player,Team_Name_Abbrev,Pos,Team_Name_Full,Team_Name_Mascot
Cyril Grayson,TAM,wr,Tampa Bay Buccaneers,Buccaneers
Alec Ingold,LVR,fb,Las Vegas Raiders,Raiders
Ronald Jones II,TAM,rb,Tampa Bay Buccaneers,Buccaneers
Latavius Murray,BAL,rb,Baltimore Ravens,Ravens
Jaret Patterson,WAS,rb,Washington Commanders,Commanders
Dante Pettis,NYG,,NY Giants,Giants
Anthony Schwartz,CLE,wr,Cleveland Browns,Browns
Dede Westbrook,MIN,,Minnesota Vikings,Vikings
Blake Bell,KAN,te,Kansas City Chiefs,Chiefs
Alex Collins,SEA,rb,Seattle Seahawks,Seahawks
D'Onta Foreman,TEN,rb,Tennessee Titans,Titans
Jacob Hollister,JAX,te,Jacksonville Jaguars,Jaguars
Marcus Johnson,TEN,wr,Tennessee Titans,Titans
Dax Milne,WAS,wr,Washington Commanders,Commanders
Josh Oliver,BAL,te,Baltimore Ravens,Ravens
Elijhaa Penny,NYG,rb,NY Giants,Giants
Trent Sherfield,SFO,wr,San Francisco 49ers,49ers
Keith Smith,ATL,fb,Atlanta Falcons,Falcons
Lee Smith,ATL,,Atlanta Falcons,Falcons
Equanimeous St. Brown,GNB,wr,Green Bay Packers,Packers
Tommy Sweeney,BUF,te,Buffalo Bills,Bills
Nick Vannett,NOR,te,key does not exist --> NOR,NOR
Ty'Son Williams,BAL,rb,Baltimore Ravens,Ravens
Derrick Gore,KAN,,Kansas City Chiefs,Chiefs
Denzel Mims,NYJ,wr,NY Jets,Jets
Patrick Ricard,BAL,FB,Baltimore Ravens,Ravens
Eric Saubert,DEN,te,Denver Broncos,Broncos
Jeff Smith,NYJ,wr,NY Jets,Jets
Juwann Winfree,GNB,,Green Bay Packers,Packers
Matt Breida,BUF,,Buffalo Bills,Bills
DJ Chark,JAX,wr,Jacksonville Jaguars,Jaguars
Phillip Dorsett,3TM,,key does not exist --> 3TM,3TM
Luke Farrell,JAX,te,Jacksonville Jaguars,Jaguars
Noah Gray,KAN,te,Kansas City Chiefs,Chiefs
Penny Hart,SEA,,Seattle Seahawks,Seahawks
Godwin Igwebuike,DET,rb,Detroit Lions,Lions
Jesse James,CHI,te,Chicago Bears,Bears
Craig Reynolds,DET,,Detroit Lions,Lions
Greg Ward,PHI,,Philadelphia Eagles,Eagles
Jeff Wilson,SFO,rb,San Francisco 49ers,49ers
Eno Benjamin,ARI,,Arizona Cardinals,Cardinals
Chris Carson,SEA,rb,Seattle Seahawks,Seahawks
Corey Clement,DAL,,Dallas Cowboys,Cowboys
Jaelon Darden,TAM,,Tampa Bay Buccaneers,Buccaneers
Tom Kennedy,DET,,Detroit Lions,Lions
Chris Manhertz,JAX,te,Jacksonville Jaguars,Jaguars
Tre' McKitty,LAC,te,Los Angeles Chargers,Chargers
Anthony Miller,2TM,,key does not exist --> 2TM,2TM
Rashaad Penny,SEA,rb,Seattle Seahawks,Seahawks
Curtis Samuel,WAS,wr,Washington Commanders,Commanders
Shi Smith,CAR,,Carolina Panthers,Panthers
Kenny Stills,NOR,wr,key does not exist --> NOR,NOR
Preston Williams,MIA,wr,Miami Dolphins,Dolphins
